"z","shelter","eggs","with_eggs","ground","ceiling","heatmat","move","room","tank#","tank_size","temperature","researcher","time","start_time","x","y","Date","ID","SVL","Weight","Sex"
"2","0","0",NA,"0","0","0","1","R002","3","s","24.74","BS","m","08:45","1","2","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.74","BS","m","09:00","1","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.73","BS","m","09:15","2","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.59","BS","m","09:30","2","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.51","BS","m","09:45","1","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.44","BS","m","10:00","2","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.45","BS","m","10:15","2","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","1","R002","3","s","24.4","BS","m","10:30","2","1","29/10/2021",1,13.309,139,"F"
"2","1","0",NA,"0","0","0","0","R002","3","s","24.4","BS","m","10:45","1","1","29/10/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0",NA,"R002","3","s","24.35","BS","a","11:30","2","1","09/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","11:45","2","1","09/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.4","BS","a","12:00","1","1","09/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","12:15","1","1","09/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.38","BS","a","12:30","2","2","09/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.32","BS","a","12:45","1","1","09/11/2021",1,13.309,139,"F"
"2","1","0",NA,"0","0","0","1","R002","3","s","24.38","BS","a","13:00","1","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.38","BS","a","13:15","1","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","13:30","1","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","13:45","1","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.39","BS","a","14:00","2","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.38","BS","a","14:15","1","1","09/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","25.03","BS","m","08:00","1","2","10/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","08:15","1","2","10/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.85","BS","m","08:30","1","1","10/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.74","BS","m","08:45","1","1","10/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.67","BS","m","09:00","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","1","R002","3","s","24.49","BS","m","09:15","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.41","BS","m","09:30","1","1","10/11/2021",1,13.309,139,"F"
"2","0","0",NA,"0","0","1","0","R002","3","s","24.4","BS","m","09:45","2","1","10/11/2021",1,13.309,139,"F"
